email,kind,draft_or_campaign,timing,internal_name,subject,preheader,from_name,from_email,reply_to,button,destination,html_file
5.5,scheduled campaign,campaign IDs: 192795454682957112 / 192795457777304695 / 192795460957636199,"November 23, 2026",Tomorrow reminder,"Tomorrow, the journey begins",Your digital edition and workbook arrive on November 24.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Confirm Your Portal Access,https://curlscontemplation.beauty/dashboard,html/email-5.5-tomorrow-reminder.html
6.1,automation email,192829203885852588,1 day after access becomes active,Reader welcome,A quiet way to begin Curls & Contemplation,You do not need to rush through a journey designed for reflection.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Open Your Library,https://curlscontemplation.beauty/dashboard,html/email-6.1-reader-welcome.html
6.2,automation email,192829203885852588,3 days later,Integration prompt,Do not turn reflection into another performance,"The goal is an honest answer, not an impressive one.",MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Return to Your Library,https://curlscontemplation.beauty/dashboard,html/email-6.2-integration-prompt.html
6.3,automation email,192829203885852588,7 days later,Workbook guidance or offer,Give the insight somewhere to live,"Reflection becomes more useful when it can become a decision, practice, or plan.",MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Open the Workbook,https://curlscontemplation.beauty/workbook,html/email-6.3-workbook-guidance-or-offer.html
6.4,automation email,192829203885852588,14 days later,Feedback and advocacy,What is staying with you?,Your response can help shape how this work continues.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Share Your Reflection,https://curlscontemplation.beauty/feedback,html/email-6.4-feedback-and-advocacy.html
7.1,automation email,192829208307696992,1 hour after abandonment,Gentle reminder,Your Curls & Contemplation checkout is still open,Return when you are ready — your place was not lost.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Return to Checkout,https://curlscontemplation.beauty/order,html/email-7.1-gentle-reminder.html
7.2,automation email,192829208307696992,24 hours later,Objection handling,A few details before you decide,"Release date, delivery, workbook access, and what your preorder includes.",MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Review Your Order,https://curlscontemplation.beauty/order,html/email-7.2-objection-handling.html
7.3,automation email,192829208307696992,72 hours after abandonment,Final recovery,Should I close the loop?,"One final link to complete your order, with no pressure to continue.",MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Complete Your Order,https://curlscontemplation.beauty/order,html/email-7.3-final-recovery.html
8.1,automation email,192829212186380173,2 hours after Bonus Claim Started,Incomplete claim reminder,Finish activating your included workbook,Your preorder benefit is waiting in your customer portal.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Complete Workbook Access,https://curlscontemplation.beauty/workbook,html/email-8.1-incomplete-claim-reminder.html
8.2,automation email,192829212186380173,24 hours later if still incomplete,Second claim reminder,Your preorder workbook is still unclaimed,Complete the final step so it appears in your library.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Claim the Workbook,https://curlscontemplation.beauty/workbook,html/email-8.2-second-claim-reminder.html
8.3,automation email,192829215088837803,Immediately after Bonus Claim Completed,Claim completed,Your workbook access is active,The digital workbook has been added to your customer library.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Open the Workbook,https://curlscontemplation.beauty/workbook,html/email-8.3-claim-completed.html
9.1,automation email,192829216933283343,Immediately after payment,Cards delivery,Your Digital Daily Directive cards are ready,Open your set and choose the directive that meets you today.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Open Your Card Library,https://curlscontemplation.beauty/downloads,html/email-9.1-cards-delivery.html
9.2,automation email,192829216933283343,1 day later,Usage ritual,A three-minute ritual for your directive cards,Read. Reflect. Respond.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Choose Today’s Directive,https://curlscontemplation.beauty/downloads,html/email-9.2-usage-ritual.html
9.3,automation email,192829216933283343,4 days later,Habit reinforcement,Do not collect affirmations — practice one,The value is not in how many cards you read.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Return to Your Cards,https://curlscontemplation.beauty/downloads,html/email-9.3-habit-reinforcement.html
9.4,automation email,192829216933283343,10 days later,Bundle upsell or owner feedback,Ready for the complete 12-set collection?,Expand your directive library or share how you are using the collection.,MD,info@curlscontemplation.beauty,info@curlscontemplation.beauty,Explore the Complete Bundle,https://curlscontemplation.beauty/daily-directives,html/email-9.4-bundle-upsell-or-owner-feedback.html
